months_as_customer,age,policy_number,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,capital-gains,capital-loss,incident_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year
284,48,498140,2000,769.95,0,605486,0,-44200,Multi-vehicle Collision,Major Damage,Ambulance,NY,Hillsdale,16,2,2,3,60940,5540,11080,44320,Audi,2013
275,41,498875,2000,1514.72,0,617970,35700,0,Multi-vehicle Collision,Major Damage,Fire,NY,Northbrook,13,3,0,1,58300,5830,11660,40810,Suburu,2007
153,34,798177,1000,873.64,4000000,432934,800,0,Multi-vehicle Collision,Minor Damage,Other,SC,Columbus,9,3,2,1,68400,11400,11400,45600,Ford,2007
134,32,614763,500,1612.43,0,456762,36400,0,Single Vehicle Collision,Total Loss,Fire,VA,Springfield,2,1,2,1,64240,11680,11680,40880,BMW,2015
31,36,679370,2000,1318.24,9000000,601748,0,-78600,Parked Car,Trivial Damage,None,WV,Arlington,9,1,0,1,4700,940,470,3290,Dodge,2002
41,25,958857,1000,1226.83,0,607763,0,-56100,Multi-vehicle Collision,Major Damage,Other,SC,Columbus,12,3,2,0,45120,0,5640,39480,Accura,2011
127,29,686816,2000,1326.44,5000000,436973,0,0,Multi-vehicle Collision,Total Loss,Fire,SC,Arlington,12,2,1,1,66950,10300,10300,46350,Saab,1995
61,23,127754,2000,1136.83,4000000,471300,0,-62400,Single Vehicle Collision,Major Damage,Police,NY,Columbus,14,1,0,3,98340,8940,17880,71520,Honda,2004
207,42,918629,2000,1322.78,0,453277,55200,0,Parked Car,Trivial Damage,None,WV,Springfield,9,1,0,1,5900,590,590,4720,BMW,2007
219,43,731450,1000,1483.25,0,465100,90700,-20800,Multi-vehicle Collision,Major Damage,Ambulance,NC,Riverwood,3,3,1,1,70680,5890,11780,53010,Ford,2009
271,42,307447,500,1515.3,0,603248,0,0,Multi-vehicle Collision,Total Loss,Ambulance,SC,Northbend,21,3,1,0,93720,17040,8520,68160,Mercedes,2005
80,25,992145,2000,1075.18,5000000,601112,67700,-58400,Vehicle Theft,Minor Damage,None,OH,Northbrook,5,1,2,0,6930,1260,630,5040,Toyota,2001
325,47,900628,1000,1690.27,0,438830,61500,0,Single Vehicle Collision,Major Damage,Fire,VA,Springfield,11,1,0,3,72930,6630,6630,59670,Dodge,2006
29,25,235220,2000,1352.83,0,464959,0,-71700,Multi-vehicle Collision,Minor Damage,Other,SC,Hillsdale,4,4,1,2,64890,7210,7210,50470,Nissan,2013
295,48,740019,1000,1148.73,0,439787,0,0,Parked Car,Trivial Damage,None,WV,Columbus,6,1,1,2,5400,900,900,3600,Saab,1999
239,42,246882,1000,969.5,0,464839,0,0,Vehicle Theft,Trivial Damage,None,NC,Northbrook,10,1,0,0,5600,700,700,4200,Audi,2007
269,41,797613,500,1463.82,0,448984,0,-72300,Single Vehicle Collision,Minor Damage,Police,SC,Northbend,23,1,0,0,79300,15860,15860,47580,Saab,2007
80,27,193442,1000,1474.17,0,440327,0,0,Single Vehicle Collision,Major Damage,Police,WV,Northbend,13,1,1,0,52800,10560,5280,36960,Saab,2004
279,41,389238,500,1497.35,0,460742,37300,-31700,Multi-vehicle Collision,Minor Damage,Fire,NC,Northbrook,16,3,2,3,28800,0,3600,25200,Ford,2013
165,33,760179,1000,1427.14,0,446895,35300,-58100,Parked Car,Minor Damage,Police,WV,Northbend,3,1,1,1,2970,330,330,2310,Toyota,2008
350,54,939905,500,1495.1,0,609374,50500,0,Multi-vehicle Collision,Total Loss,Police,SC,Northbend,15,3,0,0,93480,15580,7790,70110,Chevrolet,2014
295,49,872814,500,1141.62,0,451672,34300,-24300,Vehicle Theft,Minor Damage,None,WV,Columbus,4,1,1,3,4320,480,480,3360,Mercedes,2002
464,61,632627,1000,1125.37,0,604450,0,-56400,Multi-vehicle Collision,Major Damage,Police,VA,Northbend,6,3,0,2,79800,6650,19950,53200,Saab,2000
118,28,283414,2000,1207.36,0,432896,0,-57000,Multi-vehicle Collision,Major Damage,Ambulance,WV,Columbus,22,2,1,0,74200,7420,14840,51940,Volkswagen,1997
298,47,163161,2000,1338.5,0,618929,28800,0,Single Vehicle Collision,Major Damage,Fire,NY,Northbrook,1,1,0,0,70590,10860,10860,48870,Saab,2000
87,31,853360,1000,1074.07,0,451312,0,-47500,Multi-vehicle Collision,Major Damage,Fire,NY,Springfield,16,3,0,3,60940,5540,11080,44320,Nissan,2006
261,42,776860,500,1337.56,0,605141,0,0,Single Vehicle Collision,Minor Damage,Police,SC,Riverwood,18,1,1,2,74700,7470,14940,52290,Dodge,2010
453,60,149367,500,1298.91,6000000,459504,52600,-38800,Single Vehicle Collision,Major Damage,Fire,NC,Springfield,0,1,0,0,70000,14000,7000,49000,Ford,2015
210,41,395269,500,1222.75,0,432781,0,-41000,Multi-vehicle Collision,Total Loss,Other,WV,Columbus,12,3,2,0,81070,14740,14740,51590,BMW,2001
168,32,981123,1000,1059.52,0,452748,0,-40600,Multi-vehicle Collision,Major Damage,Other,VA,Hillsdale,13,2,1,1,57720,14430,9620,33670,Saab,2007
390,51,143626,2000,1124.38,0,618316,0,0,Vehicle Theft,Minor Damage,None,VA,Northbrook,9,1,1,1,7080,1180,1180,4720,Ford,2001
258,46,648397,1000,1110.37,10000000,455365,34400,-56800,Multi-vehicle Collision,Total Loss,Other,NY,Riverwood,14,3,0,1,47700,4770,9540,33390,Accura,1997
107,31,154982,2000,1374.22,0,470603,62000,-63100,Single Vehicle Collision,Minor Damage,Police,SC,Hillsdale,16,1,0,3,51260,9320,9320,32620,Suburu,2002
225,41,330591,2000,1103.58,0,475292,41200,-36200,Multi-vehicle Collision,Major Damage,Police,NY,Northbend,20,3,2,2,70400,6400,12800,51200,Toyota,2011
164,38,319232,2000,1269.76,0,467743,44300,0,Single Vehicle Collision,Minor Damage,Fire,NY,Hillsdale,4,1,1,3,90000,18000,9000,63000,Ford,2015
245,39,531640,500,964.79,8000000,460675,58000,0,Multi-vehicle Collision,Minor Damage,Police,NY,Arlington,7,3,0,1,72820,13240,6620,52960,BMW,2010
255,41,368050,2000,1167.3,4000000,618123,0,0,Single Vehicle Collision,Minor Damage,Fire,SC,Hillsdale,22,1,2,0,69300,13860,13860,41580,Volkswagen,2000
206,36,253791,500,1625.45,4000000,607452,0,-53700,Single Vehicle Collision,Major Damage,Ambulance,NY,Northbrook,11,1,2,1,76560,12760,12760,51040,Ford,2008
203,38,155724,500,1394.43,0,606352,0,0,Single Vehicle Collision,Major Damage,Ambulance,VA,Columbus,7,1,0,1,55440,0,6160,49280,Nissan,1999
22,25,824540,2000,1053.24,0,603527,51100,0,Multi-vehicle Collision,Total Loss,Other,NC,Arlington,0,4,1,0,77130,8570,17140,51420,Accura,1995
211,35,717392,500,1040.75,0,445601,0,0,Single Vehicle Collision,Total Loss,Ambulance,WV,Northbend,1,1,1,1,42000,7000,7000,28000,BMW,2011
206,39,965768,1000,1302.4,6000000,603948,47200,-69700,Multi-vehicle Collision,Total Loss,Ambulance,NY,Hillsdale,12,3,2,3,36300,3300,9900,23100,Ford,2013
166,38,414779,2000,1588.55,0,435758,59600,-32100,Single Vehicle Collision,Total Loss,Other,WV,Columbus,8,1,0,0,40320,5760,5760,28800,Suburu,2001
165,32,428230,500,1399.26,0,611586,70500,0,Parked Car,Minor Damage,Police,PA,Northbrook,9,1,2,0,3960,330,660,2970,BMW,1998
274,43,517240,2000,1352.31,0,465263,40700,-47300,Single Vehicle Collision,Major Damage,Fire,NY,Northbend,22,1,0,3,63840,10640,10640,42560,BMW,2006
81,28,469874,1000,1139,6000000,617858,42400,0,Multi-vehicle Collision,Major Damage,Fire,SC,Northbend,0,3,1,2,44730,4970,4970,34790,Saab,2000
280,45,718428,1000,1397.67,0,607889,57900,0,Multi-vehicle Collision,Minor Damage,Other,NY,Arlington,0,3,1,2,84720,14120,14120,56480,Ford,1999
194,39,620215,500,823.17,0,455689,0,0,Multi-vehicle Collision,Major Damage,Other,WV,Columbus,3,3,2,2,61500,6150,12300,43050,Dodge,2012
112,27,618659,500,965.13,0,450341,60000,-54800,Multi-vehicle Collision,Major Damage,Ambulance,NC,Arlington,21,3,0,1,51000,8500,8500,34000,Nissan,2013
24,33,649082,1000,1922.84,0,431277,0,-45200,Single Vehicle Collision,Total Loss,Police,WV,Northbend,0,1,2,1,46800,4680,9360,32760,Jeep,2002
93,32,437573,2000,1624.82,0,454656,65300,-65600,Single Vehicle Collision,Minor Damage,Ambulance,WV,Northbend,16,1,1,1,78120,17360,8680,52080,BMW,2006
171,34,964657,2000,1277.25,0,605169,84900,0,Single Vehicle Collision,Major Damage,Police,NY,Springfield,14,1,1,2,69200,13840,6920,48440,Volkswagen,1996
200,40,932502,1000,1439.34,0,444822,45300,-20400,Vehicle Theft,Minor Damage,Police,VA,Riverwood,9,1,0,0,3690,410,410,2870,Ford,2015
120,28,434507,1000,1281.27,0,447442,68900,0,Multi-vehicle Collision,Minor Damage,Fire,SC,Springfield,9,3,0,3,65500,6550,6550,52400,BMW,2010
325,46,935277,500,1348.83,0,474360,46300,-77500,Multi-vehicle Collision,Minor Damage,Fire,NC,Springfield,21,3,1,2,76120,13840,6920,55360,Toyota,1999
124,32,756054,1000,1198.15,0,447925,0,-43200,Multi-vehicle Collision,Total Loss,Other,VA,Springfield,19,3,0,2,73560,12260,12260,49040,BMW,1995
211,35,682387,2000,1221.22,0,451586,76000,0,Single Vehicle Collision,Total Loss,Police,NY,Northbend,2,1,0,1,52030,9460,4730,37840,Mercedes,2008
287,41,456604,2000,968.74,0,477519,0,-49000,Vehicle Theft,Trivial Damage,None,SC,Northbrook,9,1,2,3,5170,470,940,3760,Suburu,2001
122,34,139872,1000,1220.71,0,603639,58600,-28700,Parked Car,Minor Damage,None,SC,Northbend,5,1,2,1,8190,1890,1260,5040,Chevrolet,2013
22,29,354105,2000,1238.62,6000000,463993,0,-56200,Single Vehicle Collision,Major Damage,Ambulance,SC,Springfield,14,1,2,3,70800,7080,14160,49560,Accura,2012
106,31,165485,2000,1320.75,0,441491,54100,0,Multi-vehicle Collision,Total Loss,Police,WV,Springfield,20,3,0,3,45630,5070,5070,35490,Accura,2011
398,58,515050,500,990.98,0,469429,0,-57900,Single Vehicle Collision,Major Damage,Police,NC,Northbrook,18,1,2,1,99320,7640,15280,76400,Accura,2002
214,41,795686,500,1398.51,4000000,472214,0,-57100,Multi-vehicle Collision,Major Damage,Fire,NC,Northbend,13,3,2,0,64000,12800,6400,44800,BMW,1996
209,38,395983,500,1355.08,0,614945,58100,0,Single Vehicle Collision,Minor Damage,Fire,WV,Northbrook,21,1,1,1,47300,4730,4730,37840,Nissan,2014
82,27,119513,1000,1384.51,0,476727,13100,-38200,Single Vehicle Collision,Major Damage,Other,SC,Springfield,14,1,2,3,71680,8960,8960,53760,Volkswagen,2007
193,41,217938,500,847.03,0,438555,0,0,Single Vehicle Collision,Major Damage,Other,SC,Springfield,1,1,1,0,112320,17280,17280,77760,Suburu,2011
134,32,203914,1000,1000.06,0,440961,0,0,Single Vehicle Collision,Total Loss,Other,NY,Columbus,17,1,1,0,82720,7520,15040,60160,Audi,2014
288,45,565157,1000,1046.71,0,616714,0,0,Multi-vehicle Collision,Major Damage,Fire,NC,Hillsdale,4,3,2,1,48060,10680,5340,32040,Mercedes,2009
104,32,904191,500,1158.03,0,434247,31900,-44600,Multi-vehicle Collision,Total Loss,Police,NY,Riverwood,23,3,1,3,63570,9780,9780,44010,Volkswagen,2006
431,54,419510,1000,1372.27,0,436547,17600,0,Multi-vehicle Collision,Total Loss,Fire,WV,Columbus,13,3,2,3,63240,10540,10540,42160,Suburu,1997
101,33,575000,1000,1053.04,7000000,619540,52000,-44500,Multi-vehicle Collision,Minor Damage,Ambulance,NC,Northbrook,20,3,1,3,54240,9040,9040,36160,Saab,2013
375,50,120485,1000,1275.39,0,466283,0,0,Single Vehicle Collision,Major Damage,Police,NY,Riverwood,16,1,2,3,37280,0,0,37280,Audi,1996
461,61,781181,2000,1402.75,0,449557,0,0,Multi-vehicle Collision,Minor Damage,Police,NY,Columbus,10,3,2,1,72100,7210,14420,50470,Jeep,2006
428,59,299796,500,1344.36,7000000,473329,0,0,Parked Car,Minor Damage,None,WV,Northbend,8,1,2,3,6500,1300,650,4550,Saab,2013
45,38,589749,1000,1197.71,0,470117,29000,0,Multi-vehicle Collision,Total Loss,Ambulance,WV,Springfield,17,3,2,0,78240,13040,13040,52160,Suburu,2013
136,29,854021,500,1203.24,0,600702,62500,-66900,Vehicle Theft,Minor Damage,Police,NY,Columbus,9,1,2,0,6200,1240,620,4340,Honda,1999
216,36,454086,1000,1152.4,0,615921,39600,-82400,Parked Car,Minor Damage,Police,VA,Springfield,0,1,2,3,6160,560,1680,3920,Mercedes,2014
278,48,139484,2000,1142.62,7000000,475588,0,-54000,Single Vehicle Collision,Total Loss,Ambulance,SC,Northbrook,12,1,2,0,76050,11700,11700,52650,Chevrolet,1997
295,48,678849,1000,1332.07,0,609409,49700,-59100,Multi-vehicle Collision,Total Loss,Ambulance,NY,Hillsdale,20,2,2,1,86060,13240,13240,59580,Volkswagen,2002
112,30,346940,1000,1166.54,0,479852,47700,-59300,Single Vehicle Collision,Major Damage,Fire,SC,Arlington,3,1,2,0,107900,10790,21580,75530,Dodge,1997
122,34,985436,500,1495.06,0,452249,38100,-31400,Multi-vehicle Collision,Total Loss,Fire,PA,Columbus,18,3,2,0,99990,18180,18180,63630,Mercedes,2011
108,29,237418,1000,1337.92,0,441536,71400,0,Multi-vehicle Collision,Minor Damage,Ambulance,WV,Columbus,4,3,2,2,61380,11160,5580,44640,Suburu,2012
